"ROUNDQUANT"	"XGENDER1"	"STYLE"	"COLOR"	"XSPORT_ACTIVITY1"	"XSIZE1"	"UPC"	"NIKEPO"	"XCOLORBAR"	"ORDERNO"	"RFID"	"qrcode"	"OrderLineNo"	"__xcolorbar"	"rowno"
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C568E2C625C04"	"HTTPS://QR.NIKE.COM/04VRPNEXRCCZP"	"1"	"BLUE"	"71" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C568E649DE004"	"HTTPS://QR.NIKE.COM/0448RHH6CF1GF"	"1"	"BLUE"	"72" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C568E70AA1804"	"HTTPS://QR.NIKE.COM/0473B30R80DR6"	"1"	"BLUE"	"73" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C568EA6DDA804"	"HTTPS://QR.NIKE.COM/049YDWHGN7T8V"	"1"	"BLUE"	"74" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C568EC37C5404"	"HTTPS://QR.NIKE.COM/04Z1AE73D3MMW"	"1"	"BLUE"	"75" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C568EF6087C04"	"HTTPS://QR.NIKE.COM/04AMR8VXG177H"	"1"	"BLUE"	"76" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C568F32EA3C04"	"HTTPS://QR.NIKE.COM/04QAH3JJ64M44"	"1"	"BLUE"	"77" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C568F7AD9A804"	"HTTPS://QR.NIKE.COM/04CDTYTQH9DDN"	"1"	"BLUE"	"78" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C568F8640D404"	"HTTPS://QR.NIKE.COM/04FC6HNKTS6EB"	"1"	"BLUE"	"79" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C568FB417A404"	"HTTPS://QR.NIKE.COM/0474GZ2WQSGBB"	"1"	"BLUE"	"80" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C568FEC055804"	"HTTPS://QR.NIKE.COM/0472AGK0R34RX"	"1"	"BLUE"	"81" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C568FFC9C9404"	"HTTPS://QR.NIKE.COM/04XBWXFYAQ8XR"	"1"	"BLUE"	"82" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C568FFD261C04"	"HTTPS://QR.NIKE.COM/04SVTB0R17JSC"	"1"	"BLUE"	"83" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C56900AB25804"	"HTTPS://QR.NIKE.COM/04VTRRTC4F4YP"	"1"	"BLUE"	"84" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C56900E080C04"	"HTTPS://QR.NIKE.COM/0436RDRYCYR0Y"	"1"	"BLUE"	"85" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C56901BAA1804"	"HTTPS://QR.NIKE.COM/04DXSDWNSC5BG"	"1"	"BLUE"	"86" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C5690600B8004"	"HTTPS://QR.NIKE.COM/046NYTDAEAPAS"	"1"	"BLUE"	"87" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C56907EF52C04"	"HTTPS://QR.NIKE.COM/044XD681K1BGN"	"1"	"BLUE"	"88" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C5690F8257404"	"HTTPS://QR.NIKE.COM/0414H0CZT839N"	"1"	"BLUE"	"89" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C5690FF9C0804"	"HTTPS://QR.NIKE.COM/044ZX8JJNBDTS"	"1"	"BLUE"	"90" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C56912F4B7404"	"HTTPS://QR.NIKE.COM/041M71KFAX3JC"	"1"	"BLUE"	"91" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C569135095804"	"HTTPS://QR.NIKE.COM/04FVV0KMF1981"	"1"	"BLUE"	"92" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C5691420DE804"	"HTTPS://QR.NIKE.COM/04CFSJN6W8YPV"	"1"	"BLUE"	"93" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C56915121D004"	"HTTPS://QR.NIKE.COM/0490Q4KPFA24G"	"1"	"BLUE"	"94" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C56916D7A9004"	"HTTPS://QR.NIKE.COM/04FTV4WJ8PMG5"	"1"	"BLUE"	"95" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C5691938ED804"	"HTTPS://QR.NIKE.COM/04M4TBYABXTDD"	"1"	"BLUE"	"96" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C569266DAC404"	"HTTPS://QR.NIKE.COM/04QEBY9F7MPH4"	"1"	"BLUE"	"97" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C5692790ECC04"	"HTTPS://QR.NIKE.COM/04TEZ0ART54W8"	"1"	"BLUE"	"98" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C5692A01EC804"	"HTTPS://QR.NIKE.COM/04RVPZDZH49EY"	"1"	"BLUE"	"99" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C5692A5999804"	"HTTPS://QR.NIKE.COM/04QBB1Z2YTQDH"	"1"	"BLUE"	"100" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C569327A59804"	"HTTPS://QR.NIKE.COM/04KBXQTHQMZWK"	"1"	"BLUE"	"101" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C569351A89004"	"HTTPS://QR.NIKE.COM/04Y2KHCEES3C3"	"1"	"BLUE"	"102" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C569369D78C04"	"HTTPS://QR.NIKE.COM/04T5ACQK612P8"	"1"	"BLUE"	"103" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C569375E02C04"	"HTTPS://QR.NIKE.COM/04Z65MFTZRT3H"	"1"	"BLUE"	"104" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C5693AD0F9804"	"HTTPS://QR.NIKE.COM/0465WPN12A3TX"	"1"	"BLUE"	"105" 
